id,time,values,aqi,pollution
1,2023-01-31 00:02:00,26.7,81,Moderate
1,2023-01-31 00:02:30,381.0,415,Extremely hazardous
1,2023-01-31 00:03:30,322.9,372,Hazardous
1,2023-01-31 00:07:00,260.3,310,Hazardous
1,2023-01-31 00:08:30,320.3,370,Hazardous
1,2023-01-31 00:09:00,290.1,340,Hazardous
1,2023-01-31 00:11:00,305.2,355,Hazardous
1,2023-01-31 00:11:30,380.2,415,Extremely hazardous
1,2023-01-31 00:13:30,253.8,303,Hazardous
1,2023-01-31 00:14:00,227.9,277,Very unhealthy 
1,2023-01-31 00:14:30,119.6,184,Unhealthy
1,2023-01-31 00:15:00,482.8,466,Extremely hazardous
1,2023-01-31 00:15:30,51.9,141,Slightly unhealthy
1,2023-01-31 00:16:00,546.3,498,Extremely hazardous
1,2023-01-31 00:18:30,207.2,257,Very unhealthy 
1,2023-01-31 00:20:00,372.2,411,Extremely hazardous
1,2023-01-31 00:20:30,216.8,266,Very unhealthy 
1,2023-01-31 00:21:00,154.2,204,Very unhealthy 
1,2023-01-31 00:21:30,197.8,247,Very unhealthy 
1,2023-01-31 00:24:30,485.4,467,Extremely hazardous
1,2023-01-31 00:25:00,533.6,492,Extremely hazardous
1,2023-01-31 00:25:30,109.0,178,Unhealthy
1,2023-01-31 00:26:30,146.3,198,Unhealthy
1,2023-01-31 00:27:00,167.7,217,Very unhealthy 
1,2023-01-31 00:27:30,460.6,455,Extremely hazardous
1,2023-01-31 00:28:00,229.5,279,Very unhealthy 
1,2023-01-31 00:29:00,206.7,256,Very unhealthy 
1,2023-01-31 00:29:30,23.4,74,Moderate
1,2023-01-31 00:31:00,397.2,423,Extremely hazardous
1,2023-01-31 00:31:30,20.4,68,Moderate
1,2023-01-31 00:33:30,20.7,69,Moderate
1,2023-01-31 00:34:00,62.6,154,Unhealthy
1,2023-01-31 00:34:30,172.9,222,Very unhealthy 
1,2023-01-31 00:35:30,265.6,315,Hazardous
1,2023-01-31 00:36:30,299.7,349,Hazardous
1,2023-01-31 00:37:30,376.0,413,Extremely hazardous
1,2023-01-31 00:38:00,404.2,427,Extremely hazardous
1,2023-01-31 00:38:30,188.0,238,Very unhealthy 
1,2023-01-31 00:40:00,256.5,306,Hazardous
1,2023-01-31 00:40:30,156.9,206,Very unhealthy 
1,2023-01-31 00:41:30,311.3,361,Hazardous
1,2023-01-31 00:42:00,462.0,456,Extremely hazardous
1,2023-01-31 00:43:00,458.3,454,Extremely hazardous
1,2023-01-31 00:43:30,201.1,251,Very unhealthy 
1,2023-01-31 00:44:00,228.6,278,Very unhealthy 
1,2023-01-31 00:45:00,537.9,494,Extremely hazardous
1,2023-01-31 00:46:30,510.6,480,Extremely hazardous
1,2023-01-31 00:48:00,539.4,494,Extremely hazardous
1,2023-01-31 00:48:30,104.8,176,Unhealthy
1,2023-01-31 00:49:00,296.7,346,Hazardous
1,2023-01-31 00:50:00,471.5,460,Extremely hazardous
1,2023-01-31 00:51:00,427.1,438,Extremely hazardous
1,2023-01-31 00:52:00,100.9,174,Unhealthy
1,2023-01-31 00:52:30,499.9,475,Extremely hazardous
1,2023-01-31 00:53:30,21.1,69,Moderate
1,2023-01-31 00:55:00,161.9,211,Very unhealthy 
1,2023-01-31 00:56:00,17.4,61,Moderate
1,2023-01-31 00:56:30,333.9,383,Hazardous
1,2023-01-31 00:57:00,332.1,382,Hazardous
1,2023-01-31 00:58:00,393.2,421,Extremely hazardous
1,2023-01-31 00:58:30,490.5,470,Extremely hazardous
1,2023-01-31 00:59:00,386.0,418,Extremely hazardous
1,2023-01-31 00:59:30,22.8,73,Moderate
1,2023-01-31 01:00:00,316.6,366,Hazardous
1,2023-01-31 01:00:30,471.8,461,Extremely hazardous
1,2023-01-31 01:02:00,61.2,153,Unhealthy
1,2023-01-31 01:03:30,293.9,343,Hazardous
1,2023-01-31 01:04:00,396.1,423,Extremely hazardous
1,2023-01-31 01:06:30,153.6,203,Very unhealthy 
1,2023-01-31 01:07:00,272.1,322,Hazardous
1,2023-01-31 01:08:00,550.0,500,Extremely hazardous
1,2023-01-31 01:08:30,506.9,478,Extremely hazardous
1,2023-01-31 01:09:00,412.0,431,Extremely hazardous
1,2023-01-31 01:10:30,95.3,171,Unhealthy
1,2023-01-31 01:14:00,136.3,193,Unhealthy
1,2023-01-31 01:15:00,260.5,310,Hazardous
1,2023-01-31 01:15:30,404.1,427,Extremely hazardous
1,2023-01-31 01:16:30,289.8,339,Hazardous
1,2023-01-31 01:17:30,14.4,55,Moderate
1,2023-01-31 01:18:00,31.5,91,Moderate
1,2023-01-31 01:18:30,488.7,469,Extremely hazardous
1,2023-01-31 01:19:00,222.6,272,Very unhealthy 
1,2023-01-31 01:19:30,58.0,151,Unhealthy
1,2023-01-31 01:21:00,495.7,473,Extremely hazardous
1,2023-01-31 01:22:00,364.6,407,Extremely hazardous
1,2023-01-31 01:24:00,448.8,449,Extremely hazardous
1,2023-01-31 01:24:30,376.9,413,Extremely hazardous
1,2023-01-31 01:26:30,487.3,468,Extremely hazardous
1,2023-01-31 01:27:30,208.9,258,Very unhealthy 
1,2023-01-31 01:28:00,28.0,84,Moderate
1,2023-01-31 01:28:30,137.7,193,Unhealthy
1,2023-01-31 01:29:30,539.8,495,Extremely hazardous
1,2023-01-31 01:30:30,285.1,335,Hazardous
1,2023-01-31 01:31:00,491.6,471,Extremely hazardous
1,2023-01-31 01:31:30,83.8,165,Unhealthy
1,2023-01-31 01:32:00,508.8,479,Extremely hazardous
1,2023-01-31 01:32:30,15.6,58,Moderate
1,2023-01-31 01:33:00,269.8,319,Hazardous
1,2023-01-31 01:34:00,184.0,234,Very unhealthy 
1,2023-01-31 01:35:00,56.8,151,Unhealthy
1,2023-01-31 01:35:30,84.1,165,Unhealthy
1,2023-01-31 01:36:00,539.6,495,Extremely hazardous
1,2023-01-31 01:36:30,360.8,405,Extremely hazardous
1,2023-01-31 01:37:00,30.6,90,Moderate
1,2023-01-31 01:37:30,43.1,119,Slightly unhealthy
1,2023-01-31 01:38:00,274.2,324,Hazardous
1,2023-01-31 01:38:30,329.5,379,Hazardous
1,2023-01-31 01:39:00,423.6,437,Extremely hazardous
1,2023-01-31 01:39:30,454.2,452,Extremely hazardous
1,2023-01-31 01:40:30,541.9,496,Extremely hazardous
1,2023-01-31 01:41:00,166.1,216,Very unhealthy 
1,2023-01-31 01:41:30,312.0,362,Hazardous
1,2023-01-31 01:43:00,146.3,198,Unhealthy
1,2023-01-31 01:44:00,388.8,419,Extremely hazardous
1,2023-01-31 01:45:00,259.8,309,Hazardous
1,2023-01-31 01:45:30,133.5,191,Unhealthy
1,2023-01-31 01:46:30,202.6,252,Very unhealthy 
1,2023-01-31 01:48:00,200.3,250,Very unhealthy 
1,2023-01-31 01:48:30,335.0,384,Hazardous
1,2023-01-31 01:49:00,86.6,166,Unhealthy
1,2023-01-31 01:50:30,162.5,212,Very unhealthy 
1,2023-01-31 01:52:00,143.4,196,Unhealthy
1,2023-01-31 01:53:00,327.9,377,Hazardous
1,2023-01-31 01:54:00,515.6,483,Extremely hazardous
1,2023-01-31 01:55:00,491.6,471,Extremely hazardous
1,2023-01-31 01:56:00,486.0,468,Extremely hazardous
1,2023-01-31 01:56:30,309.0,358,Hazardous
1,2023-01-31 01:57:00,18.8,64,Moderate
1,2023-01-31 01:57:30,451.7,451,Extremely hazardous
1,2023-01-31 01:58:00,69.0,157,Unhealthy
1,2023-01-31 01:59:30,423.6,437,Extremely hazardous
1,2023-01-31 02:00:00,181.9,231,Very unhealthy 
1,2023-01-31 02:02:00,51.8,141,Slightly unhealthy
1,2023-01-31 02:02:30,483.9,467,Extremely hazardous
1,2023-01-31 02:03:00,424.0,437,Extremely hazardous
1,2023-01-31 02:03:30,32.5,94,Moderate
1,2023-01-31 02:04:00,197.5,247,Very unhealthy 
1,2023-01-31 02:04:30,451.5,450,Extremely hazardous
1,2023-01-31 02:06:00,388.3,419,Extremely hazardous
1,2023-01-31 02:06:30,202.2,252,Very unhealthy 
1,2023-01-31 02:07:00,55.9,150,Unhealthy
1,2023-01-31 02:09:30,478.2,464,Extremely hazardous
1,2023-01-31 02:11:00,87.8,167,Unhealthy
1,2023-01-31 02:11:30,546.0,498,Extremely hazardous
1,2023-01-31 02:13:30,513.5,482,Extremely hazardous
1,2023-01-31 02:14:00,141.2,195,Unhealthy
1,2023-01-31 02:14:30,486.4,468,Extremely hazardous
1,2023-01-31 02:15:30,446.1,448,Extremely hazardous
1,2023-01-31 02:16:00,434.4,442,Extremely hazardous
1,2023-01-31 02:16:30,381.1,415,Extremely hazardous
1,2023-01-31 02:17:00,67.7,156,Unhealthy
1,2023-01-31 02:18:30,445.1,447,Extremely hazardous
1,2023-01-31 02:19:00,135.0,192,Unhealthy
1,2023-01-31 02:19:30,23.2,74,Moderate
1,2023-01-31 02:22:30,84.8,165,Unhealthy
1,2023-01-31 02:23:00,375.7,413,Extremely hazardous
1,2023-01-31 02:23:30,118.3,183,Unhealthy
1,2023-01-31 02:24:00,312.0,362,Hazardous
1,2023-01-31 02:26:30,274.7,324,Hazardous
1,2023-01-31 02:27:00,178.6,228,Very unhealthy 
1,2023-01-31 02:28:00,464.7,457,Extremely hazardous
1,2023-01-31 02:30:00,499.4,474,Extremely hazardous
1,2023-01-31 02:31:00,318.5,368,Hazardous
1,2023-01-31 02:31:30,509.6,480,Extremely hazardous
1,2023-01-31 02:32:30,18.8,64,Moderate
1,2023-01-31 02:33:00,82.9,164,Unhealthy
1,2023-01-31 02:34:00,302.3,352,Hazardous
1,2023-01-31 02:35:30,304.2,354,Hazardous
1,2023-01-31 02:36:00,464.8,457,Extremely hazardous
1,2023-01-31 02:37:00,139.1,194,Unhealthy
1,2023-01-31 02:37:30,204.6,254,Very unhealthy 
1,2023-01-31 02:38:00,34.4,98,Moderate
1,2023-01-31 02:39:30,126.8,188,Unhealthy
1,2023-01-31 02:40:00,416.6,433,Extremely hazardous
1,2023-01-31 02:40:30,174.1,224,Very unhealthy 
1,2023-01-31 02:41:30,321.1,371,Hazardous
1,2023-01-31 02:42:00,273.4,323,Hazardous
1,2023-01-31 02:42:30,200.1,250,Very unhealthy 
1,2023-01-31 02:43:00,367.6,409,Extremely hazardous
1,2023-01-31 02:43:30,511.4,480,Extremely hazardous
1,2023-01-31 02:44:00,195.7,245,Very unhealthy 
1,2023-01-31 02:45:00,487.2,468,Extremely hazardous
1,2023-01-31 02:45:30,160.2,210,Very unhealthy 
1,2023-01-31 02:46:00,35.4,100,Moderate
1,2023-01-31 02:47:00,193.9,243,Very unhealthy 
1,2023-01-31 02:47:30,550.5,243,Very unhealthy 
1,2023-01-31 02:48:00,235.0,284,Very unhealthy 
1,2023-01-31 02:49:30,103.2,175,Unhealthy
1,2023-01-31 02:50:00,198.5,248,Very unhealthy 
1,2023-01-31 02:50:30,279.2,329,Hazardous
1,2023-01-31 02:51:00,484.6,467,Extremely hazardous
1,2023-01-31 02:51:30,544.4,497,Extremely hazardous
1,2023-01-31 02:52:00,520.3,485,Extremely hazardous
1,2023-01-31 02:52:30,72.6,159,Unhealthy
1,2023-01-31 02:53:30,498.1,474,Extremely hazardous
1,2023-01-31 02:54:00,239.4,289,Very unhealthy 
1,2023-01-31 02:54:30,134.3,191,Unhealthy
1,2023-01-31 02:55:00,229.0,278,Very unhealthy 
1,2023-01-31 02:56:30,425.8,438,Extremely hazardous
1,2023-01-31 02:57:30,280.5,330,Hazardous
1,2023-01-31 02:58:00,106.9,177,Unhealthy
1,2023-01-31 02:58:30,508.0,479,Extremely hazardous
1,2023-01-31 02:59:30,331.6,381,Hazardous
1,2023-01-31 03:00:30,516.4,483,Extremely hazardous
1,2023-01-31 03:01:00,237.3,287,Very unhealthy 
1,2023-01-31 03:02:30,114.2,181,Unhealthy
1,2023-01-31 03:03:30,57.3,151,Unhealthy
1,2023-01-31 03:04:30,379.2,414,Extremely hazardous
1,2023-01-31 03:08:00,405.1,427,Extremely hazardous
1,2023-01-31 03:09:30,362.3,406,Extremely hazardous
1,2023-01-31 03:10:00,455.3,452,Extremely hazardous
1,2023-01-31 03:10:30,462.3,456,Extremely hazardous
1,2023-01-31 03:11:30,110.9,179,Unhealthy
1,2023-01-31 03:12:30,135.0,192,Unhealthy
1,2023-01-31 03:13:30,164.4,214,Very unhealthy 
1,2023-01-31 03:14:00,265.4,315,Hazardous
1,2023-01-31 03:14:30,146.2,198,Unhealthy
1,2023-01-31 03:15:00,255.9,305,Hazardous
1,2023-01-31 03:17:00,238.1,288,Very unhealthy 
1,2023-01-31 03:18:00,90.9,169,Unhealthy
1,2023-01-31 03:19:00,174.0,224,Very unhealthy 
1,2023-01-31 03:20:00,216.5,266,Very unhealthy 
1,2023-01-31 03:20:30,86.9,167,Unhealthy
1,2023-01-31 03:23:00,524.6,487,Extremely hazardous
1,2023-01-31 03:23:30,368.8,409,Extremely hazardous
1,2023-01-31 03:24:00,133.5,191,Unhealthy
1,2023-01-31 03:25:00,185.7,235,Very unhealthy 
1,2023-01-31 03:25:30,192.9,242,Very unhealthy 
1,2023-01-31 03:26:00,521.4,485,Extremely hazardous
1,2023-01-31 03:28:30,415.1,432,Extremely hazardous
1,2023-01-31 03:30:00,139.0,194,Unhealthy
1,2023-01-31 03:31:00,306.5,356,Hazardous
1,2023-01-31 03:31:30,93.9,170,Unhealthy
1,2023-01-31 03:32:00,319.3,369,Hazardous
1,2023-01-31 03:34:30,119.1,183,Unhealthy
1,2023-01-31 03:36:00,405.1,427,Extremely hazardous
1,2023-01-31 03:37:30,286.2,336,Hazardous
1,2023-01-31 03:39:00,518.8,484,Extremely hazardous
1,2023-01-31 03:39:30,238.0,288,Very unhealthy 
1,2023-01-31 03:40:00,478.3,464,Extremely hazardous
1,2023-01-31 03:40:30,408.2,429,Extremely hazardous
1,2023-01-31 03:42:30,195.5,245,Very unhealthy 
1,2023-01-31 03:43:00,302.8,352,Hazardous
1,2023-01-31 03:44:00,18.2,63,Moderate
1,2023-01-31 03:44:30,416.4,433,Extremely hazardous
1,2023-01-31 03:45:00,62.2,154,Unhealthy
1,2023-01-31 03:45:30,372.4,411,Extremely hazardous
1,2023-01-31 03:47:00,148.3,199,Unhealthy
1,2023-01-31 03:48:30,81.7,164,Unhealthy
1,2023-01-31 03:49:00,472.6,461,Extremely hazardous
1,2023-01-31 03:51:30,361.8,406,Extremely hazardous
1,2023-01-31 03:52:00,141.7,195,Unhealthy
1,2023-01-31 03:52:30,86.4,166,Unhealthy
1,2023-01-31 03:53:00,178.0,228,Very unhealthy 
1,2023-01-31 03:53:30,338.3,388,Hazardous
1,2023-01-31 03:54:30,18.7,64,Moderate
1,2023-01-31 03:56:30,70.4,158,Unhealthy
1,2023-01-31 03:57:00,436.6,443,Extremely hazardous
1,2023-01-31 03:57:30,169.3,219,Very unhealthy 
1,2023-01-31 03:59:00,183.3,233,Very unhealthy 
1,2023-01-31 03:59:30,262.4,312,Hazardous
1,2023-01-31 04:00:00,465.5,458,Extremely hazardous
1,2023-01-31 04:01:00,253.6,303,Hazardous
1,2023-01-31 04:01:30,218.4,268,Very unhealthy 
1,2023-01-31 04:02:00,201.4,251,Very unhealthy 
1,2023-01-31 04:02:30,476.4,463,Extremely hazardous
1,2023-01-31 04:03:00,80.2,163,Unhealthy
1,2023-01-31 04:04:30,327.4,377,Hazardous
1,2023-01-31 04:05:00,508.1,479,Extremely hazardous
1,2023-01-31 04:05:30,546.9,498,Extremely hazardous
1,2023-01-31 04:06:30,235.3,285,Very unhealthy 
1,2023-01-31 04:07:00,185.3,235,Very unhealthy 
1,2023-01-31 04:07:30,383.7,417,Extremely hazardous
1,2023-01-31 04:08:00,377.3,413,Extremely hazardous
1,2023-01-31 04:09:30,106.5,177,Unhealthy
1,2023-01-31 04:10:00,71.9,159,Unhealthy
1,2023-01-31 04:10:30,502.1,476,Extremely hazardous
1,2023-01-31 04:11:00,231.5,281,Very unhealthy 
1,2023-01-31 04:11:30,403.4,426,Extremely hazardous
1,2023-01-31 04:14:00,95.1,171,Unhealthy
1,2023-01-31 04:15:30,137.8,193,Unhealthy
1,2023-01-31 04:16:30,405.3,427,Extremely hazardous
1,2023-01-31 04:17:00,453.7,452,Extremely hazardous
1,2023-01-31 04:18:00,508.5,479,Extremely hazardous
1,2023-01-31 04:18:30,69.3,157,Unhealthy
1,2023-01-31 04:19:00,544.5,497,Extremely hazardous
1,2023-01-31 04:19:30,226.4,276,Very unhealthy 
1,2023-01-31 04:20:00,420.5,435,Extremely hazardous
1,2023-01-31 04:20:30,270.2,320,Hazardous
1,2023-01-31 04:21:00,417.8,434,Extremely hazardous
1,2023-01-31 04:21:30,313.0,362,Hazardous
1,2023-01-31 04:22:00,349.8,399,Hazardous
1,2023-01-31 04:23:00,230.5,280,Very unhealthy 
1,2023-01-31 04:23:30,89.9,168,Unhealthy
1,2023-01-31 04:24:00,291.6,341,Hazardous
1,2023-01-31 04:24:30,386.4,418,Extremely hazardous
1,2023-01-31 04:25:00,449.3,449,Extremely hazardous
1,2023-01-31 04:25:30,502.3,476,Extremely hazardous
1,2023-01-31 04:26:00,62.1,153,Unhealthy
1,2023-01-31 04:26:30,439.2,444,Extremely hazardous
1,2023-01-31 04:27:00,103.3,175,Unhealthy
1,2023-01-31 04:28:00,254.7,304,Hazardous
1,2023-01-31 04:29:00,500.5,475,Extremely hazardous
1,2023-01-31 04:30:00,41.9,116,Slightly unhealthy
1,2023-01-31 04:30:30,178.6,228,Very unhealthy 
1,2023-01-31 04:31:00,386.6,418,Extremely hazardous
1,2023-01-31 04:32:30,478.0,464,Extremely hazardous
1,2023-01-31 04:34:30,343.4,393,Hazardous
1,2023-01-31 04:35:30,28.3,85,Moderate
1,2023-01-31 04:36:00,293.1,343,Hazardous
1,2023-01-31 04:36:30,126.9,188,Unhealthy
1,2023-01-31 04:37:00,329.8,379,Hazardous
1,2023-01-31 04:37:30,451.9,451,Extremely hazardous
1,2023-01-31 04:38:30,408.1,429,Extremely hazardous
1,2023-01-31 04:39:00,508.0,479,Extremely hazardous
1,2023-01-31 04:40:00,251.5,301,Hazardous
1,2023-01-31 04:40:30,531.3,490,Extremely hazardous
1,2023-01-31 04:41:30,148.9,199,Unhealthy
1,2023-01-31 04:42:30,444.2,447,Extremely hazardous
1,2023-01-31 04:43:00,527.0,488,Extremely hazardous
1,2023-01-31 04:44:30,500.9,475,Extremely hazardous
1,2023-01-31 04:45:00,325.5,375,Hazardous
1,2023-01-31 04:46:00,214.3,264,Very unhealthy 
1,2023-01-31 04:47:30,390.1,420,Extremely hazardous
1,2023-01-31 04:48:30,13.6,53,Moderate
1,2023-01-31 04:49:30,87.7,167,Unhealthy
1,2023-01-31 04:50:00,386.0,418,Extremely hazardous
1,2023-01-31 04:50:30,414.1,432,Extremely hazardous
1,2023-01-31 04:51:30,355.5,402,Extremely hazardous
1,2023-01-31 04:52:00,471.7,461,Extremely hazardous
1,2023-01-31 04:52:30,259.9,309,Hazardous
1,2023-01-31 04:53:30,487.3,468,Extremely hazardous
1,2023-01-31 04:54:00,338.6,388,Hazardous
1,2023-01-31 04:54:30,157.4,207,Very unhealthy 
1,2023-01-31 04:55:30,366.1,408,Extremely hazardous
1,2023-01-31 04:57:00,436.4,443,Extremely hazardous
1,2023-01-31 04:57:30,80.7,163,Unhealthy
1,2023-01-31 04:58:30,512.5,481,Extremely hazardous
1,2023-01-31 04:59:30,228.7,278,Very unhealthy 
1,2023-01-31 05:00:00,73.0,159,Unhealthy
1,2023-01-31 05:02:00,294.5,344,Hazardous
1,2023-01-31 05:03:00,258.3,308,Hazardous
1,2023-01-31 05:03:30,394.6,422,Extremely hazardous
1,2023-01-31 05:04:00,535.7,493,Extremely hazardous
1,2023-01-31 05:04:30,61.4,153,Unhealthy
1,2023-01-31 05:05:00,127.0,188,Unhealthy
1,2023-01-31 05:05:30,490.9,470,Extremely hazardous
1,2023-01-31 05:06:00,97.4,172,Unhealthy
1,2023-01-31 05:06:30,478.2,464,Extremely hazardous
1,2023-01-31 05:07:30,205.0,254,Very unhealthy 
1,2023-01-31 05:09:30,412.7,431,Extremely hazardous
1,2023-01-31 05:10:00,327.8,377,Hazardous
1,2023-01-31 05:11:00,48.4,132,Slightly unhealthy
1,2023-01-31 05:12:00,325.8,375,Hazardous
1,2023-01-31 05:13:00,157.3,207,Very unhealthy 
1,2023-01-31 05:13:30,544.3,497,Extremely hazardous
1,2023-01-31 05:14:30,40.6,113,Slightly unhealthy
1,2023-01-31 05:15:00,412.2,431,Extremely hazardous
1,2023-01-31 05:15:30,198.1,248,Very unhealthy 
1,2023-01-31 05:16:00,532.9,491,Extremely hazardous
1,2023-01-31 05:16:30,414.2,432,Extremely hazardous
